Code_commune_INSEE;Nom_commune;Code_postal
02443;LUCY LE BOCAGE;02400
02445;LUZOIR;02500
02458;DHUYS ET MORIN EN BRIE;02540
02464;MARGIVAL;02880
02472;MAUREGNY EN HAYE;02820
02478;MERLIEUX ET FOUQUEROLLES;02000
02482;MEURIVAL;02160
02490;MONAMPTEUIL;02000
02498;MONTAIGU;02820
02503;MONT D ORIGNY;02390
02516;MONTIGNY SOUS MARLE;02250
02520;MONT NOTRE DAME;02220
02523;MONT ST MARTIN;02220
02524;MONT ST PERE;02400
02526;MORGNY EN THIERACHE;02360
02532;MOY DE L AISNE;02610
02534;MUSCOURT;02160
02539;NAUROY;02420
02543;NEUILLY ST FRONT;02470
02544;NEUVE MAISON;02500
02546;LA NEUVILLE EN BEINE;02300
02553;NIZY LE COMTE;02150
02557;NOROY SUR OURCQ;02600
02566;OGNES;02300
02568;OIGNY EN VALOIS;02600
02572;ORAINVILLE;02190
02580;OULCHY LE CHATEAU;02210
02581;PAARS;02220
02583;PANCY COURTECON;02860
02586;PARFONDEVAL;02360
02594;PASSY EN VALOIS;02470
02595;PASSY SUR MARNE;02850
02596;PAVANT;02310
02601;PIGNICOURT;02190
02606;LE PLESSIER HULEU;02210
02613;PONTAVERT;02160
02616;PONT ST MARD;02380
02628;PUISEUX EN RETZ;02600
02633;QUINCY SOUS LE MONT;02220
02640;RENANSART;02240
02642;RESIGNY;02360
02644;RETHEUIL;02600
02650;ROCQUIGNY;02260
02656;ROUCY;02160
02659;ROUVROY;02100
02660;ROUVROY SUR SERRE;02360
02662;ROZET ST ALBIN;02210
02664;ROZOY BELLEVALLE;02540
02671;ST AUBIN;02300
02679;ST GENGOULPH;02810
02684;ST MICHEL;02830
02689;ST PIERREMONT;02250
02696;ST THOMAS;02820
02697;SAMOUSSY;02840
02702;SAVY;02590
02706;SEPTMONTS;02200
02707;SEPTVAUX;02410
02708;SEQUEHART;02420
02712;SERGY;02130
02729;SOUCY;02600
02738;TERGNIER;02700
02740;THENAILLES;02140
02742;THIERNU;02250
02745;TOULIS ET ATTENCOURT;02250
02756;URVILLERS;02690
02767;VAUXREZIS;02200
02769;VAUX ANDIGNY;02110
02770;VAUXBUIN;02200
02774;VENDELLES;02490
02776;VENDHUILE;02420
02778;VENDRESSE BEAULNE;02160
02789;VERVINS;02140
02791;VESLUD;02840
02793;VEZAPONIN;02290
02798;VIELS MAISONS;02540
02816;VILLERS SUR FERE;02130
02817;VILLE SAVOYE;02220
02824;VORGES;02860
02830;WASSIGNY;02630
02832;WIEGE FATY;02120
03001;ABREST;03200
03002;AGONGES;03210
03004;ANDELAROCHE;03120
03009;AUBIGNY;03460
03011;AUROUER;03460
03013;AVERMES;03000
03021;BEGUES;03800
03022;BELLENAVES;03330
03023;BELLERIVE SUR ALLIER;03700
03025;BESSAY SUR ALLIER;03340
03026;BESSON;03210
03032;BLOMARD;03390
03035;LE BOUCHAUD;03130
03036;BOURBON L ARCHAMBAULT;03160
03045;BUSSET;03270
03047;LA CELLE;03600
03059;CHAREIL CINTRAT;03140
03065;CHATEL DE NEUVRE;03500
03071;CHAVROCHES;03220
03072;CHAZEMAIS;03370
03073;CHEMILLY;03210
03075;CHEZELLE;03140
03078;CHOUVIGNY;03450
03080;COGNAT LYONNE;03110
03084;COSNE D ALLIER;03430
03088;COURCAIS;03370
03089;COUTANSOUZE;03330
03093;CREUZIER LE NEUF;03300
03098;DESERTINES;03630
03102;DOMPIERRE SUR BESBRE;03290
03103;LE DONJON;03130
03105;DROITURIER;03120
03112;ETROUSSAT;03140
03127;HERISSON;03190
03129;HYDS;03600
03138;LAPALISSE;03120
03147;LODDES;03130
03163;MARIOL;03270
03164;LE MAYET D ECOLE;03800
03169;MEILLARD;03500
03171;MERCY;03340
03172;MESPLES;03370
03175;MONESTIER;03140
03180;MONTBEUGNY;03340
03215;RONGERES;03150
03223;ST CHRISTOPHE;03120
03225;ST DESIRE;03370
03228;ST ELOY D ALLIER;03370
03234;ST GERAND DE VAUX;03340
03238;ST HILAIRE;03440
03241;ST LEOPARDIN D AUGY;03160
03245;ST MARTIN DES LAIS;03230
03266;SANSSAT;03150
03267;SAULCET;03500
03270;SAZERET;03390
03271;SERBANNES;03700
03272;SERVILLY;03120
03274;SORBIER;03220
03275;SOUVIGNY;03210
03276;SUSSAT;03450
03287;TREBAN;03240
03293;URCAY;03360
03308;VERNUSSE;03390
03309;LE VEURDRE;03320
03314;VILLEBRET;03310
03316;VILLENEUVE SUR ALLIER;03460
03321;YZEURE;03400
04007;ANGLES;04170
04017;AUZET;04140
04018;BANON;04150
04022;BARREME;04330
04023;BAYONS;04250
04026;BELLAFFAIRE;04250
04033;UBAYE SERRE PONCON;04340
04039;CASTELLANE;04120
04041;LE CASTELLET;04700
04059;CLUMANC;04330
04063;CORBIERES EN PROVENCE;04220
04084;ESTOUBLON;04270
04092;LA GARDE;04120
04101;LARDIERS;04230
04107;MAJASTRES;04270
04108;MALIJAI;04350
04110;MALLEMOISSON;04510
04120;VAL D ORONAYE;04530
04124;MONTAGNAC MONTPEZAT;04500
04124;MONTAGNAC MONTPEZAT;04500
04127;MONTFORT;04600
04130;MONTLAUX;04230
04136;LA MURE ARGENS;04170
04144;LA PALUD SUR VERDON;04120
04148;PEYROULES;04120
04154;PONTIS;05160
04161;MEOLANS REVEL;04340
04163;REVEST DU BION;04150
04164;REVEST ST MARTIN;04230
04170;LA ROCHETTE;06260
04175;STE CROIX A LAUZE;04110
04177;HAUTES DUYES;04380
04178;ST ETIENNE LES ORGUES;04230
04183;ST JULIEN DU VERDON;04170
04200;SALIGNAC;04290
04202;SAUSSES;04320
04203;SELONNET;04140
04204;SENEZ;04330
04205;SEYNE;04140
04208;SIMIANE LA ROTONDE;04150
04211;SOURRIBES;04290
04217;THOARD;04380
04219;THORAME HAUTE;04170
04219;THORAME HAUTE;04170
04224;UBRAYE;04240
04226;UVERNET FOURS;04400
04231;VALERNES;04200
05007;ARVIEUX;05350
05023;BRIANCON;05100
05025;BUISSARD;05500
05027;CERVIERES;05100
05032;CHAMPOLEON;05260
05033;CHANOUSSE;05700
05036;CHATEAUROUX LES ALPES;05380
05039;AUBESSAGNE;05500
05039;AUBESSAGNE;05500
05040;CHORGES;05230
05045;CROTS;05200
05046;EMBRUN;05200
05053;GARDE COLOMBE;05300
05054;LA FARE EN CHAMPSAUR;05500
05058;FREISSINIERES;05310
05060;FURMEYER;05400
05062;LE GLAIZIL;05800
05066;LA HAUTE BEAUME;05140
05078;MONETIER ALLEMONT;05110
05080;MONTBRAND;05140
05082;MONT DAUPHIN;05600
05086;MONTJAY;05150
05087;MONTMAUR;05400
05091;MOYDANS;05150
05092;NEFFES;05000
05093;NEVACHE;05100
05098;LES ORRES;05200
05112;RABOU;05400
05131;ST AUBAN D OZE;05400
05133;ST CHAFFREY;05330
05134;ST CLEMENT SUR DURANCE;05600
05154;ST PIERRE D ARGENCON;05140
05157;ST VERAN;05350
05161;LA SALLE LES ALPES;05240
05163;LE SAUZE DU LAC;05160
05164;SAVINES LE LAC;05160
05165;SAVOURNON;05700
05167;SIGOTTIER;05700
05172;TRESCLEOUX;05700
05178;VENTAVON;05300
05180;LES VIGNEAUX;05120
06014;BENDEJUN;06390
06016;BEUIL;06470
06018;BIOT;06410
06019;BLAUSASC;06440
06022;BOUYON;06510
06029;CANNES;06400
06030;LE CANNET;06110
06030;LE CANNET;06110
06034;CASTAGNIERS;06670
06041;CIPIERES;06620
06046;COLOMARS;06670
06047;CONSEGUDES;06510
06059;EZE;06360
06076;LIEUCHE;06260
06077;LUCERAM;06440
06079;MANDELIEU LA NAPOULE;06210
06081;LE MAS;06910
06082;MASSOINS;06710
06088;NICE;06200
06091;PEILLE;06440
06098;PUGET ROSTANG;06260
06101;RIGAUD;06260
06104;ROQUEBRUNE CAP MARTIN;06190
06104;ROQUEBRUNE CAP MARTIN;06190
06106;ROQUESTERON;06910
06115;ST ANTONIN;06260
06117;ST BLAISE;06670
06120;ST ETIENNE DE TINEE;06660
06121;ST JEAN CAP FERRAT;06230
06126;ST MARTIN DU VAR;06670
06127;ST MARTIN VESUBIE;06450
06129;ST SAUVEUR SUR TINEE;06420
06131;SALLAGRIFFON;06910
06138;THEOULE SUR MER;06590
06143;TOUET SUR VAR;06710
06146;TOURNEFORT;06420
06148;TOURRETTES SUR LOUP;06140
06155;VALLAURIS;06220
06160;VILLENEUVE D ENTRAUNES;06470
07002;AILHON;07200
07010;ANNONAY;07100
07014;ARLEBOSC;07410
07029;BEAUMONT;07110
07036;BOGY;07340
07039;BOZAS;07410
07044;BROSSAINC;07340
07050;CHAMBONAS;07140
07051;CHAMPAGNE;07340
07053;CHANDOLAS;07230
07055;CHARMES SUR RHONE;07800
07058;CHASSIERS;07110
07059;CHATEAUBOURG;07130
07062;CHAZEAUX;07110
07063;CHEMINAS;07300
07066;CHOMERAC;07210
07069;COLOMBIER LE VIEUX;07410
07073;LE CRESTET;07270
07076;CRUAS;07350
07081;DOMPNAC;07260
07083;DUNIERE SUR EYRIEUX;07360
07085;EMPURANY;07270
07090;FLAVIAC;07000
07091;FONS;07200
07115;LABEAUME;07120
07120;LACHAMP RAPHAEL;07530
07129;LAMASTRE;07270
07147;MALARCE SUR LA THINES;07140
07147;MALARCE SUR LA THINES;07140
07148;MALBOSC;07140
07155;MERCUER;07200
07162;MONTREAL;07110
07167;LES OLLIERES SUR EYRIEUX;07360
07169;OZON;07370
07177;PLATS;07300
07198;ROMPON;07250
07205;ST ALBAN D AY;07790
07206;ST ALBAN EN MONTAGNE;07590
07207;ST ALBAN AURIOLLES;07120
07208;ST ANDEOL DE BERG;07170
07211;ST ANDRE DE CRUZIERES;07460
07214;ST APOLLINAIRE DE RIAS;07240
07222;ST CIERGE SOUS LE CHEYLARD;07160
07227;ST CYR;07430
07242;ST GINEYS EN COIRON;07580
07249;ST JEURE D ANDAURE;07320
07257;ST JULIEN LE ROUX;07240
07258;ST JULIEN VOCANCE;07690
07262;ST LAURENT BAINS LAVAL D AURELLE;07590
07265;ST MARCEL LES ANNONAY;07100
07266;STE MARGUERITE LAFIGERE;07140
07270;ST MARTIN SUR LAVEZON;07400
07270;ST MARTIN SUR LAVEZON;07400
07280;ST PAUL LE JEUNE;07460
07281;ST PERAY;07130
07284;ST PIERRE ST JEAN;07140
07287;ST PONS;07580
07289;ST PRIVAT;07200
07290;ST PRIX;07270
07299;ST SYMPHORIEN DE MAHUN;07290
07316;SOYONS;07130
07318;TAURIERS;07110
07319;LE TEIL;07400
07323;TOULAUD;07130
07327;UZER;07110
07329;VALGORGE;07110
07334;LES VANS;07140
07339;VESSEAUX;07200
07347;VOCANCE;07690
07348;VOGUE;07200
08006;ALLAND HUY ET SAUSSEUIL;08130
08015;ANTHENY;08260
08017;APREMONT;08250
08019;LES GRANDES ARMOISES;08390
08020;LES PETITES ARMOISES;08390
08022;ARREUX;08090
08027;AUBONCOURT VAUZELLES;08270
08037;AUVILLERS LES FORGES;08260
08038;AVANCON;08300
08041;BAALONS;08430
08069;BLANCHEFOSSE ET BAY;08290
08075;BOULT AUX BOIS;08240
08076;BOULZICOURT;08410
08083;BREVILLY;08140
08086;BRIQUENAY;08240
08094;CERNION;08260
08095;CHAGNY;08430
08106;CHARNOIS;08600
08107;CHATEAU PORCIEN;08360
08117;CHESNOIS AUBONCOURT;08270
08121;CHILLY;08260
08137;DAMOUZY;08090
08145;DOUZY;08140
08145;DOUZY;08140
08149;L ECHELLE;08150
08173;FLIZE;08160
08176;FOSSE;08240
08178;FRAILLICOURT;08220
08183;FROMELENNES;08600
08183;FROMELENNES;08600
08189;GIRONDELLE;08260
08190;GIVET;08600
08195;GOMONT;08190
08200;GRIVY LOISY;08400
08206;HAM LES MOINES;08090
08211;HARAUCOURT;08450
08215;HARRICOURT;08240
08216;HAUDRECY;08090
08218;LES HAUTES RIVIERES;08800
08218;LES HAUTES RIVIERES;08800
08228;LA HORGNE;08430
08235;ISSANCOURT ET RUMEL;08440
08236;JANDUN;08430
08237;JOIGNY SUR MEUSE;08700
08243;LALOBBE;08460
08245;LANCON;08250
08248;LAUNOIS SUR VENCE;08430
08252;LETANNE;08210
08257;LOGNY BOGNY;08150
08259;LONGWE;08400
08260;LONNY;08150
08268;MAISONCELLE ET VILLERS;08450
08276;MARGUT;08370
08277;MARLEMONT;08290
08291;MOGUES;08110
08294;LA MONCELLE;08140
08307;MONTMEILLANT;08220
08316;NEUFMANIL;08700
08317;LA NEUVILLE A MAIRE;08450
08319;NEUVILLE LEZ BEAULIEU;08380
08320;LA NEUVILLE EN TOURNE A FUY;08310
08323;LA NEUVILLE LES WASIGNY;08270
08325;NOIRVAL;08400
08329;NOVION PORCIEN;08270
08331;NOYERS PONT MAUGIS;08350
08346;PRIX LES MEZIERES;08000
08353;RANCENNES;08600
08354;RAUCOURT ET FLABA;08450
08366;ROCQUIGNY;08220
08366;ROCQUIGNY;08220
08366;ROCQUIGNY;08220
08367;ROCROI;08230
08372;RUBIGNY;08220
08375;SACHY;08110
08378;ST CLEMENT A ARNES;08310
08382;ST JEAN AUX BOIS;08220
08387;ST LOUP TERRIER;08130
08389;ST MARCEL;08460
08395;ST PIERRE SUR VENCE;08430
08396;ST QUENTIN LE PETIT;08220
08400;SAPOGNE ET FEUCHERES;08160
08403;SAULT LES RETHEL;08300
08408;SECHEVAL;08150
08409;SEDAN;08200
08418;SEVIGNY WALEPPE;08220
08419;SIGNY L ABBAYE;08460
08422;SINGLY;08430
08432;SURY;08090
08437;TAILLY;08240
08439;TANNAY;08390
08451;LE THOUR;08190
08455;TOURCELLES CHAUMONT;08400
08464;VAUX LES MOURON;08250
08477;VILLERS DEVANT MOUZON;08210
08482;VILLERS SUR LE MONT;08430
